month,AQI,PM2.5,PM10,SO2,CO,NO2,O3
2014-01-01,54,25,53,21,1.032,25,81
2014-02-01,108,81,106,37,1.477,35,52
2014-03-01,72,42,59,31,0.961,20,88
2014-04-01,63,33,80,20,0.752,25,85
2014-05-01,49,32,54,32,0.914,18,50
2014-06-01,67,46,80,32,1.032,31,56
2014-07-01,63,44,59,21,0.817,45,50
2014-08-01,60,38,64,28,0.761,30,64
2014-09-01,85,54,79,31,0.761,34,81
2014-10-01,61,38,65,32,0.914,22,69
2014-11-01,60,44,64,21,0.82,35,68
2014-12-01,70,44,90,30,1.9,18,56
2015-01-01,108,79,105,29,2.255,33,68
2015-02-01,78,57,78,29,1.461,25,50
2015-03-01,55,35,59,31,1.477,25,53
2015-04-01,64,45,64,32,1.27,25,52
2015-05-01,95,69,101,37,1.145,22,79
2015-06-01,59,24,60,15,0.703,28,85
2015-07-01,54,24,59,15,0.51,27,83
2015-08-01,54,26,57,16,0.426,26,94
2015-09-01,54,25,54,19,0.443,31,99
2015-10-01,80,55,79,20,0.416,40,88
2015-11-01,76,51,75,18,0.923,45,74
2015-12-01,121,90,127,28,0.961,60,71
2016-01-01,105,71,98,25,0.7,56,88
2016-02-01,79,54,86,19,0.593,35,81
2016-03-01,97,71,96,21,0.755,49,69
2016-04-01,71,46,60,16,0.683,38,85
2016-05-01,65,44,65,17,0.632,34,79
2016-06-01,61,41,52,19,0.63,30,78
2016-07-01,49,32,44,21,0.497,27,80
2016-08-01,60,28,44,22,0.565,25,104
2016-09-01,61,42,55,25,0.67,30,85
2016-10-01,61,41,61,19,0.752,37,63
2016-11-01,84,60,79,24,0.847,50,64
2016-12-01,109,82,106,22,1.029,51,64
2017-01-01,108,81,98,20,1.168,34,48
2017-02-01,98,74,92,20,1.118,32,80
2017-03-01,91,68,81,21,0.929,37,84
2017-04-01,91,56,89,21,0.927,34,122
2017-05-01,90,47,72,19,0.761,25,127
2017-06-01,69,38,68,18,0.727,22,111
2017-07-01,51,22,40,16,0.568,22,90
2017-08-01,50,21,37,15,0.639,20,93
2017-09-01,59,30,50,18,0.817,31,101
2017-10-01,63,35,65,22,0.839,35,101
2017-11-01,79,54,98,22,0.82,43,86
2017-12-01,104,75,124,21,1.042,51,40
