城市,年度,平均AQI,空气质量,人口总量,人口城镇化率,人均GDP,地区生产总值,专利,第二产业所占比率
安庆,2014,69.5,2,620.8792,42.23,28809,1352.906158,5481,60.22
安庆,2015,74.1,2,525.48,45.87,31101,1417.43,12645,48.38
安庆,2016,81.7,2,529.1,47.19,33294,1531.18,17022,47.49
安庆,2017,82.66,2,530.5,48.57,36928,1708.83,8163,48.48
常州,2014,97.66,2,469.64,68.7,106329,4991.37,37833,49.98
常州,2015,94.08,2,470.14,70,114308,5371.22,38559,48.61
常州,2016,89.08,2,470.83,71,124889,5875.85,43860,46.8
常州,2017,88.92,2,471.73,71.8,140435,6618.42,33973,46.82
池州,2014,71.25,2,160.6354,50.06,36267,517.1690426,2756,47.14
池州,2015,55.33,2,161.61,51.11,38014,544.74,3594,46.14
池州,2016,74.41,2,162.36,52.3,40919,589.02,3480,43.77
池州,2017,88.58,2,162.36,53.67,43178,624.35,4286,42.84
滁州,2014,89.92,2,449.6112,47.75,30562,1214.386013,7598,53.62
滁州,2015,85.33,2,449.06,49.02,32634,1305.7,8785,50.32
滁州,2016,90.92,2,454.09,50.4,35302,1422.83,12628,49.71
滁州,2017,93.25,2,454.25,51.89,39517,1604.39,10083,50.85
杭州,2014,90.33,2,715.7576,75.1,129448,9206.16,48569,41.77
杭州,2015,87.33,2,723.5545,75.3,139653,10050.21,60839,38.89
杭州,2016,85.58,2,735.9994,76.2,124286,11313.72,73546,36.42
杭州,2017,84.91,2,753.8771,76.8,135113,12603.36,75709,34.61
合肥,2014,107.5,3,712.8052,69.1,67689,5180.556598,25393,55.25
合肥,2015,91.17,2,717.72,70.4,73102,5660.27,32364,52.6
合肥,2016,89.33,2,729.83,72.05,80138,6274.38,50792,50.7
合肥,2017,94.5,2,742.76,73.75,88456,7003.05,61340,49.02
湖州,2014,94.17,2,263.7845,57.4,74334,1956,19886,51.08
湖州,2015,93.67,2,263.7139,59.2,79024,2084.26,21822,48.99
湖州,2016,88.92,2,264.8446,60.5,77110,2284.37,23271,48.13
湖州,2017,88,2,266.1413,62,82952,2476.13,28807,47.32
嘉兴,2014,90.75,2,348.1377,59.2,96607,3352.6,23818,54.1
嘉兴,2015,90.83,2,349.4779,60.9,100852,3517.81,26339,52.61
嘉兴,2016,81.58,2,352.1175,62.9,83968,3862.11,32208,52.06
